cellphone_id,brand,model,operating system,internal memory,RAM,performance,main camera,selfie camera,battery size,screen size,weight,price,release date,url
16,Google,Pixel 6a,Android,128,6,6.88,12,8,4410,6.1,178,449,21/07/2021,https://s.yimg.com/uu/api/res/1.2/YroCb89qmvduFzHHjXjBsA--~B/aD0xMjAwO3c9MjAwMDthcHBpZD15dGFjaHlvbg--/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2022-07/e03ad250-0884-11ed-b5f7-85a0d794b38d.cf.jpg
17,Google,Pixel 6 Pro ,Android,128,12,7.19,50,11,5003,6.7,210,699,28/10/2021,https://sonpixel.vn/wp-content/uploads/2022/08/google-pixel-6-pro-quoc-te-3.jpg
18,OnePlus,Nord N20,Android,128,6,3.8,64,16,4500,6.4,173,299,28/04/2022,https://oasis.opstatics.com/content/dam/oasis/page/2022/nav/n20/N20-pc.png
19,OnePlus,Nord 2T,Android,128,8,6.04,50,32,4500,6.4,190,379,21/05/2022,https://www.zdnet.com/a/img/2022/06/09/d287dc86-74f9-4568-a167-f71bd0188892/oneplus-nord-2t-770x433.jpg
20,OnePlus,10 Pro,Android,128,8,8.86,48,32,5000,6.7,201,780,11/01/2022,https://gadgetcentral.co.ke/wp-content/uploads/2022/06/OnePlus-10-Pro-5G.jpg
21,OnePlus,10T,Android,128,8,11.0,50,16,4800,6.7,204,649,06/08/2022,https://cdn.tmobile.com/content/dam/t-mobile/en-p/cell-phones/OnePlus/OnePlus-10T-5G/Moonstone-Black/OnePlus-10T-5G-Moonstone-Black-backimage.png
22,Oppo,Find X5 Pro,Android,256,12,10.12,50,32,5000,6.7,218,987,14/03/2022,https://images.frandroid.com/wp-content/uploads/2022/02/oppo-find-x5-pro-frandroid-2022.png
23,Vivo,X80 Pro,Android,256,8,9.81,50,32,4700,6.7,215,872,29/04/2022,https://asia-exstatic-vivofs.vivo.com/PSee2l50xoirPK7y/1651807558189/e7db3841bf6db0ac7a6f58948e8ab515.png
24,Xiaomi,Redmi Note 11,Android,128,4,2.44,50,13,5000,6.4,179,174,09/02/2022,https://cdn1.smartprix.com/rx-iO0Hcsken-w1200-h1200/O0Hcsken.jpg
25,Xiaomi,11T Pro,Android,256,8,7.59,108,16,5000,6.6,204,435,05/10/2021,https://m.media-amazon.com/images/I/71Od5yJbohL._SL1500_.jpg
26,Xiaomi,12 Pro,Android,128,8,9.85,50,32,4600,6.7,204,618,31/12/2021,https://i01.appmifile.com/webfile/globalimg/products/pc/xiaomi-12-pro/pc-section04-slider03.png
27,Xiaomi,Poco F4,Android,128,8,6.98,64,20,4500,6.6,195,428,27/07/2022,https://phonesdata.com/files/models/Xiaomi-Poco-F4-995.jpg
28,Sony,Xperia Pro,Android,512,12,6.82,12,8,4000,6.5,225,1998,27/01/2021,https://www.gizmochina.com/wp-content/uploads/2021/01/Sony-Xperia_Pro.jpg
29,Motorola,Moto G Stylus (2022),Android,128,6,2.3,50,16,5000,6.8,215,500,27/04/2022,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6544/6544246_sd.jpg
30,Motorola,Moto G Play (2021),Android,32,3,1.42,13,5,5000,6.5,204,159,14/01/2021,https://www.bdprice.com.bd/wp-content/uploads/2021/01/Motorola-Moto-G-Play-2021.jpg
31,Motorola,Moto G Pure,Android,32,3,1.02,13,5,4000,6.5,188,129,14/10/2021,https://www.starcity.pk/wp-content/uploads/2022/09/Motorola-moto-g-pure-3-768x768.jpg
32,Motorola,Moto G Power (2022),Android,64,4,1.35,50,8,5000,6.5,203,189,22/02/2022,https://i5.walmartimages.com/asr/e482575d-e962-441c-a0f2-d782f043ed26_1.60be4e8de28144eb186ce821e9e076e4.png
